sample	coverage	taxonomy
my_sample	8.21	Root; d__Archaea
my_sample	35.44	Root; d__Bacteria
my_sample	0.23	Root; d__Archaea; p__Halobacteriota
my_sample	4.5	Root; d__Archaea; p__Thermoproteota
my_sample	0.42	Root; d__Archaea; p__Thermoplasmatota
my_sample	0.37	Root; d__Archaea; p__Asgardarchaeota
my_sample	7.48	Root; d__Bacteria; p__Pseudomonadota
my_sample	2.0	Root; d__Bacteria; p__Bacteroidota
my_sample	6.77	Root; d__Bacteria; p__Actinomycetota
my_sample	1.12	Root; d__Bacteria; p__Patescibacteria
my_sample	0.34	Root; d__Bacteria; p__Verrucomicrobiota
my_sample	1.1	Root; d__Bacteria; p__Chloroflexota
my_sample	2.91	Root; d__Bacteria; p__Planctomycetota
my_sample	1.96	Root; d__Bacteria; p__Desulfobacterota
my_sample	0.11	Root; d__Bacteria; p__Eremiobacterota
my_sample	1.43	Root; d__Bacteria; p__Myxococcota
my_sample	0.06	Root; d__Bacteria; p__Fibrobacterota
my_sample	1.02	Root; d__Bacteria; p__Bacillota_B
my_sample	0.91	Root; d__Bacteria; p__Acidobacteriota
my_sample	0.34	Root; d__Bacteria; p__Spirochaetota
my_sample	0.58	Root; d__Bacteria; p__Bdellovibrionota
my_sample	0.06	Root; d__Bacteria; p__Bacillota_D
my_sample	0.51	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
my_sample	0.48	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
my_sample	0.42	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
my_sample	0.62	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
my_sample	1.19	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
my_sample	84.39	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
my_sample	26.96	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
my_sample	1.49	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
my_sample	0.16	Root; d__Bacteria; p__Actinomycetota; c__Nitriliruptoria
my_sample	0.8	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
my_sample	3.48	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
my_sample	0.06	Root; d__Bacteria; p__Actinomycetota; c__UBA4738
my_sample	1.34	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
my_sample	0.38	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
my_sample	0.98	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes
my_sample	0.93	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia
my_sample	1.44	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria
my_sample	0.3	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae
my_sample	1.3	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
my_sample	0.23	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
my_sample	2.14	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
my_sample	0.12	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
my_sample	2.18	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae
my_sample	1.68	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
my_sample	0.39	Root; d__Bacteria; p__Planctomycetota; c__UBA8742
my_sample	1.24	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
my_sample	0.08	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
my_sample	0.06	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia
my_sample	1.0	Root; d__Bacteria; p__Myxococcota; c__Polyangia
my_sample	0.06	Root; d__Bacteria; p__Myxococcota; c__Bradymonadia
my_sample	0.11	Root; d__Bacteria; p__Myxococcota; c__Myxococcia
my_sample	0.99	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia
my_sample	0.23	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
my_sample	0.32	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
my_sample	1.46	Root; d__Bacteria; p__Bacillota; c__Bacilli
my_sample	0.11	Root; d__Bacteria; p__Bacillota_D; c__Dethiobacteria
my_sample	0.48	Root; d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales
my_sample	0.41	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales
my_sample	0.48	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Chromatiales
my_sample	2.27	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Nitrococcales
my_sample	20.51	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
my_sample	7.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
my_sample	4.3	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales
my_sample	0.5	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Methylococcales
my_sample	0.29	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Competibacterales
my_sample	0.21	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__UBA4486
